iter	Passed	Remaining
0	60	30340
1	62	15684
2	64	10766
3	67	8313
4	69	6877
5	71	5886
6	73	5182
7	75	4669
8	78	4259
9	80	3928
10	82	3661
11	84	3441
12	86	3253
13	88	3086
14	91	2946
15	93	2831
16	95	2715
17	97	2618
18	100	2536
19	102	2455
20	104	2380
21	106	2320
22	109	2262
23	111	2205
24	113	2155
25	116	2122
26	118	2074
27	120	2032
28	122	1995
29	124	1957
30	127	1926
31	129	1895
32	131	1864
33	134	1837
34	136	1814
35	138	1790
36	141	1769
37	143	1747
38	145	1725
39	148	1707
40	150	1686
41	152	1665
42	154	1646
43	157	1630
44	159	1612
45	161	1593
46	163	1575
47	165	1562
48	168	1549
49	170	1535
50	172	1519
51	174	1505
52	177	1494
53	179	1483
54	181	1471
55	184	1461
56	186	1451
57	188	1440
58	191	1428
59	193	1417
60	195	1407
61	197	1396
62	199	1386
63	202	1376
64	204	1365
65	206	1356
66	208	1348
67	210	1339
68	213	1331
69	215	1325
70	218	1318
71	220	1309
72	222	1302
73	224	1294
74	227	1286
75	229	1280
76	231	1273
77	233	1265
78	235	1257
79	238	1250
80	241	1248
81	243	1241
82	245	1235
83	248	1229
84	250	1222
85	253	1219
86	255	1213
87	257	1206
88	260	1200
89	262	1194
90	265	1191
91	267	1185
92	269	1179
93	271	1174
94	274	1168
95	276	1161
96	278	1156
97	280	1151
98	283	1147
99	285	1142
100	287	1136
101	290	1132
102	292	1128
103	295	1124
104	297	1120
105	300	1115
106	302	1111
107	304	1106
108	306	1101
109	309	1096
110	311	1090
111	313	1085
112	315	1081
113	317	1076
114	320	1071
115	322	1066
116	324	1061
117	326	1056
118	328	1051
119	330	1046
120	332	1042
121	335	1037
122	336	1032
123	339	1028
124	341	1024
125	343	1019
126	345	1015
127	347	1011
128	350	1007
129	352	1002
130	354	998
131	356	994
132	359	992
133	362	989
134	364	985
135	366	981
136	368	977
137	371	973
138	373	969
139	375	965
140	377	961
141	380	959
142	383	956
143	385	952
144	387	949
145	390	945
146	392	942
147	394	938
148	396	934
149	398	930
150	400	926
151	403	923
152	405	919
153	408	916
154	410	913
155	412	909
156	414	906
157	417	902
158	419	899
159	422	897
160	424	893
161	426	890
162	429	887
163	431	884
164	433	881
165	436	877
166	438	874
167	440	871
168	442	867
169	445	863
170	447	860
171	449	857
172	452	855
173	455	852
174	457	850
175	460	847
176	462	844
177	464	840
178	466	837
179	469	834
180	471	831
181	474	828
182	476	824
183	479	822
184	481	819
185	489	826
186	492	823
187	494	821
188	497	818
189	499	815
190	502	812
191	504	809
192	506	806
193	509	803
194	511	800
195	514	797
196	516	794
197	518	791
198	521	788
199	523	785
200	526	782
201	528	779
202	530	776
203	533	773
204	535	770
205	537	767
206	540	764
207	542	761
208	544	758
209	546	755
210	549	752
211	551	748
212	553	745
213	555	742
214	557	739
215	560	737
216	562	733
217	564	730
218	567	727
219	569	724
220	571	721
221	573	718
222	576	715
223	578	712
224	580	709
225	582	706
226	584	703
227	587	700
228	589	697
229	591	694
230	593	691
231	596	688
232	598	685
233	600	682
234	602	679
235	604	676
236	607	674
237	609	670
238	611	667
239	613	665
240	616	662
241	618	659
242	620	656
243	623	654
244	625	651
245	627	648
246	630	645
247	632	642
248	634	639
249	636	636
250	639	634
251	641	630
252	643	627
253	645	625
254	647	622
255	650	619
256	652	616
257	654	614
258	656	611
259	658	608
260	661	605
261	663	602
262	666	600
263	668	597
264	670	594
265	672	591
266	674	588
267	676	585
268	679	583
269	681	580
270	683	577
271	685	574
272	688	572
273	690	569
274	692	566
275	695	564
276	697	561
277	699	558
278	701	555
279	703	552
280	705	550
281	707	547
282	710	544
283	712	541
284	714	539
285	716	536
286	719	533
287	721	531
288	723	528
289	726	525
290	728	523
291	730	520
292	732	517
293	734	514
294	737	512
295	739	509
296	741	506
297	744	504
298	746	501
